name,scissor_kick_combined,xwoba,woba,babip,xslg,launch_angle,exit_velocity,hardhit_percent,k_percent,bb_percent
"Castellanos, Nick",False,0.331,0.323,0.317,0.497,16.0,89.4,38.1294964028777,15.7,0.0
"Altuve, Jose",True,0.285,0.329,0.297,0.409,17.9,85.8,32.12996389891697,13.9,0.0
"Dingler, Dillon",True,0.343,0.317,0.34,0.5,18.4,89.7,44.72361809045226,20.7,0.0
"Smith, Josh",False,0.318,0.318,0.308,0.452,15.1,88.8,34.13654618473896,12.6,0.0
"Correa, Carlos",False,0.339,0.31,0.314,0.49,9.3,91.2,46.69421487603306,12.6,0.0
"Báez, Javier",False,0.296,0.327,0.337,0.429,11.0,89.5,44.5,21.3,0.0
"Olson, Matt",True,0.372,0.344,0.31,0.591,15.4,93.7,54.13533834586466,19.1,0.0
"Kiner-Falefa, Isiah",True,0.266,0.283,0.326,0.337,2.8,85.0,25.0,12.0,0.0
"Smith, Cam",True,0.319,0.31,0.361,0.459,7.7,88.9,43.49775784753363,24.1,0.0
"Narváez, Carlos",True,0.28,0.324,0.33,0.415,13.9,92.2,45.68527918781726,20.2,0.0
"Bader, Harrison",True,0.283,0.333,0.333,0.427,13.3,87.4,42.45810055865922,24.1,0.0
"Marte, Ketel",False,0.389,0.358,0.274,0.613,13.9,92.3,50.697674418604656,14.0,0.0
"Crawford, J.P.",True,0.319,0.295,0.317,0.444,12.2,87.6,35.73883161512028,13.5,0.0
"Soto, Juan",False,0.444,0.352,0.266,0.71,12.2,94.3,55.39033457249071,12.9,0.0
"Turang, Brice",True,0.311,0.291,0.331,0.436,8.9,91.0,46.35036496350365,17.9,0.0
"Ramos, Heliot",True,0.315,0.316,0.319,0.477,11.6,91.9,47.686832740213525,19.1,0.0
"McKinstry, Zach",False,0.296,0.322,0.32,0.411,16.1,86.1,30.396475770925107,17.8,0.0
"Bichette, Bo",False,0.339,0.312,0.306,0.491,10.3,90.0,44.230769230769226,13.3,0.0
"Schwarber, Kyle",False,0.445,0.403,0.256,0.744,19.8,96.3,63.84615384615384,21.0,0.0
"Arraez, Luis",False,0.276,0.295,0.276,0.364,13.7,86.4,16.193181818181817,1.9,0.0
"Pasquantino, Vinnie",False,0.34,0.329,0.281,0.511,17.1,91.2,44.08945686900959,11.8,0.0
"Torres, Gleyber",False,0.362,0.306,0.283,0.545,15.6,91.0,42.5287356321839,9.7,0.0
"Raleigh, Cal",False,0.379,0.403,0.247,0.64,26.9,92.7,51.33079847908745,22.2,0.0
"Nimmo, Brandon",False,0.334,0.333,0.282,0.505,14.5,92.0,50.54151624548736,14.8,0.0
"Contreras, Willson",False,0.382,0.332,0.311,0.6,12.3,91.3,51.19047619047619,19.7,0.0
"Mangum, Jake",True,0.285,0.282,0.301,0.382,0.2,86.5,34.659090909090914,8.7,0.0
"Harper, Bryce",False,0.375,0.348,0.289,0.585,13.6,92.1,51.67464114832536,18.0,0.0
"Kwan, Steven",False,0.289,0.293,0.271,0.397,17.9,85.7,19.863013698630137,5.5,0.0
"Langford, Wyatt",False,0.34,0.325,0.31,0.508,17.6,91.8,48.38709677419355,21.7,0.0
"France, Ty",False,0.335,0.289,0.298,0.488,11.6,90.3,42.32209737827715,9.8,0.0
"Polanco, Jorge",False,0.351,0.338,0.253,0.523,16.9,91.2,47.43589743589743,10.0,0.0
