name,scissor_kick_combined,xwoba,woba,babip,slg,xslg,attack_angle,attack_direction,swing_path_tilt,hardhit_percent,obp,k_percent,bb_percent,singles,doubles,triples,hrs,bat_speed,swing_length,pa,whiffs,swings,launch_angle,launch_speed,bip
"Muncy, Max",True,0.323,0.337,0.292,0.526,0.506,15.381652250226242,-4.775356032379144,33.67392678791655,43.96551724137931,0.27,23.7,0,45,16,1,20,70.0,6.9,304,179,650,16.1,90.1,232
"Karros, Kyle",False,0.31,0.319,0.317,0.464,0.442,6.841296069067154,-6.193209021212594,37.64515120515316,42.672413793103445,0.284,17.4,0,50,19,2,9,68.2,6.9,282,159,648,13.6,89.6,233
"Springer, George",False,0.273,0.282,0.259,0.416,0.397,8.890449524946082,1.774694111455354,33.75078577586213,39.07563025210085,0.245,16.5,0,44,13,1,11,70.5,7.4,285,144,647,13.1,88.5,235
"Manzardo, Kyle",False,0.26,0.256,0.285,0.38,0.388,17.005330701746804,1.7968403791312964,37.506035676112354,40.526315789473685,0.221,32.4,0,41,9,1,11,67.9,7.3,281,197,645,19.2,89.2,190
"Mangum, Jake",False,0.259,0.3,0.364,0.379,0.334,2.3619139849436066,11.096736078380468,31.294224377928348,25.454545454545453,0.309,16.2,0,68,10,1,2,64.6,6.5,265,135,643,1.2,82.4,222
"Bauers, Jake",False,0.341,0.359,0.329,0.549,0.521,9.840423315091543,0.214906246518869,34.620447925465605,53.81165919282511,0.298,22.1,0,51,16,1,18,74.7,7.6,289,179,642,10.8,92.6,225
"Sheets, Gavin",False,0.28,0.277,0.235,0.426,0.409,7.258955364655621,-4.495210561645105,28.47110573720887,39.14893617021277,0.228,19.0,0,37,15,0,14,71.9,7.6,290,130,638,12.7,87.7,235
"Ramírez, José",False,0.31,0.278,0.246,0.415,0.445,9.598863691652422,-8.484638667611394,31.007060164547973,41.735537190082646,0.239,13.5,0,39,18,0,10,68.6,7.2,281,106,635,19.6,89.5,242
"Chapman, Matt",False,0.249,0.277,0.293,0.398,0.345,3.04060168828288,0.2825531380961109,25.394696108481376,36.12334801762114,0.251,20.2,0,46,18,1,7,74.2,7.3,287,146,631,11.3,88.2,229
"De La Cruz, Elly",True,0.379,0.378,0.347,0.578,0.569,7.810363224045238,2.286866288149862,34.38530775300604,54.11255411255412,0.315,20.5,0,57,15,4,18,74.0,7.0,298,174,631,10.4,94.2,237
"Peters, Tristan",False,0.283,0.32,0.329,0.459,0.397,10.434355407335053,-4.525166411985576,30.635644295760063,31.601731601731604,0.29,15.9,0,49,21,3,6,65.1,6.5,276,141,629,13.9,83.5,232
"Johnston, Troy",True,0.288,0.302,0.342,0.412,0.39,8.841602830640102,1.0153768161762162,34.134489780220086,38.9344262295082,0.293,16.3,0,59,24,0,3,68.6,6.6,295,144,625,12.7,89.3,247
"Benintendi, Andrew",False,0.301,0.292,0.291,0.439,0.443,15.938951747319344,-4.136908042032163,31.42849528728945,45.75471698113208,0.251,22.5,0,41,16,2,10,67.9,7.0,276,181,625,16.7,88.3,214
"Durbin, Caleb",False,0.258,0.287,0.252,0.421,0.345,8.285939343509014,-0.9619336159749904,28.895683698760035,27.697841726618705,0.252,9.7,0,47,19,1,10,66.6,6.8,309,95,624,10.6,82.7,279
"Schanuel, Nolan",True,0.303,0.302,0.313,0.41,0.402,6.36139564053817,-1.8698268082989689,35.2510205316322,32.11678832116788,0.29,11.6,0,66,18,0,6,65.9,6.7,310,105,623,10.9,87.1,274
"Crawford, Justin",False,0.264,0.276,0.318,0.365,0.336,1.7746254463346585,10.99650046326927,28.8142684025616,32.743362831858406,0.273,15.6,0,56,12,3,2,66.2,6.8,269,116,621,3.1,84.6,227
"Church, Nathan",True,0.263,0.258,0.258,0.372,0.377,3.956630175202726,-1.0384393360325093,31.82613082744805,32.367149758454104,0.231,19.1,0,41,9,1,8,66.9,7.0,256,140,620,10.0,84.7,207
"Pasquantino, Vinnie",False,0.29,0.267,0.271,0.375,0.419,9.769552448733648,-7.827960603056504,28.33416854508871,39.74358974358975,0.249,13.9,0,49,11,2,6,68.4,7.2,273,100,617,19.4,88.8,235
"Mitchell, Garrett",True,0.346,0.344,0.399,0.502,0.518,8.861401387490025,7.556578210365259,30.97653617616989,49.47916666666667,0.305,28.1,0,48,22,3,8,75.2,7.1,267,227,616,3.7,92.4,192
"Altuve, Jose",True,0.262,0.29,0.263,0.429,0.367,12.933969051011449,-0.5748892070573397,28.17064235514798,33.198380566801625,0.251,15.9,0,47,14,1,12,65.6,7.5,296,141,615,9.7,85.0,249
"Simpson, Chandler",False,0.255,0.295,0.324,0.374,0.309,3.2285678121203105,3.698687773692853,28.83529542506053,13.94658753709199,0.305,5.8,0,91,11,6,0,61.7,6.3,359,66,615,-1.7,81.1,338
"Keaschall, Luke",True,0.254,0.272,0.298,0.365,0.353,10.194396156791733,-2.8810812783806043,36.872482504783854,28.363636363636363,0.269,12.7,0,66,14,1,4,66.9,6.7,316,105,613,16.9,84.4,276
"Basallo, Samuel",True,0.317,0.305,0.28,0.47,0.49,10.698112574452807,-2.4466009984251915,33.23567064049474,45.77114427860697,0.25,25.7,0,42,9,1,16,72.6,7.5,272,193,611,10.9,91.3,202
"Chourio, Jackson",True,0.323,0.343,0.337,0.507,0.496,8.671446098550724,4.239608767332404,27.74808304255524,45.45454545454545,0.297,20.8,0,51,19,0,13,72.8,7.3,279,143,610,12.5,92.1,221
"DeLauter, Chase",True,0.326,0.33,0.305,0.475,0.461,3.860637509031244,1.8583678607830445,28.711677039189365,45.39007092198582,0.297,10.4,0,62,20,1,11,69.6,7.1,316,97,609,13.3,91.1,283
"Taveras, Leody",True,0.265,0.272,0.299,0.387,0.373,5.80178907741022,-8.548582992479648,33.92204376619441,30.76923076923077,0.249,20.8,0,44,10,5,5,68.7,7.2,265,155,605,11.2,82.7,210
"Pederson, Joc",False,0.329,0.336,0.271,0.538,0.49,8.530228833858587,-0.9607655099764414,28.244623638731635,49.0566037735849,0.264,21.5,0,39,11,2,19,69.7,7.4,270,173,595,14.8,91.6,211
"Crawford, J.P.",True,0.287,0.265,0.247,0.385,0.407,4.869003275710612,1.57053818649501,33.724994926177374,35.77586206896552,0.235,15.9,0,44,11,0,10,69.3,7.2,277,106,593,12.2,87.3,233
"Peraza, Oswald",True,0.265,0.279,0.324,0.396,0.376,5.584851726246772,-0.8752910271807539,28.30158977836716,38.17204301075269,0.254,27.2,0,45,11,2,7,70.2,7.5,257,178,593,8.8,86.2,187
"Raley, Luke",False,0.323,0.292,0.289,0.456,0.502,14.088954215710832,-3.618601517894204,31.52404691048195,47.92899408284024,0.233,33.7,0,34,9,1,15,73.1,7.2,255,241,591,13.9,89.2,169
"Moreno, Gabriel",False,0.344,0.332,0.346,0.466,0.481,8.13083511028369,3.659639211980784,34.22756886704262,42.73504273504273,0.313,14.5,0,61,18,0,7,69.8,7.0,275,95,590,11.9,89.6,235
"Yelich, Christian",False,0.27,0.281,0.319,0.411,0.397,10.07749015096213,9.775948070940052,36.566725462460845,42.70833333333333,0.249,27.4,0,40,17,2,7,71.1,7.4,266,181,590,3.1,88.2,193
"France, Ty",False,0.31,0.357,0.322,0.56,0.463,9.50079176462978,7.8642603947228595,34.71307518930634,50.26737967914438,0.289,23.9,0,40,13,2,16,70.1,7.5,247,167,587,12.4,92.5,187
"Bleday, JJ",False,0.324,0.313,0.245,0.496,0.483,12.264927527781785,-7.652780550435439,32.54471794135862,41.34615384615385,0.246,19.5,0,35,11,1,17,71.6,7.2,261,155,587,20.5,88.6,209
"Ramos, Heliot",False,0.327,0.307,0.328,0.452,0.493,6.782017486162898,7.312775821983566,33.51333989108445,50.53763440860215,0.269,25.3,0,43,13,3,9,70.6,6.7,253,168,587,6.0,92.3,189
"Antonacci, Sam",False,0.316,0.309,0.321,0.428,0.442,8.117112128798537,9.232702619182875,38.77158737260224,36.3265306122449,0.29,14.5,0,60,14,2,7,68.1,6.6,289,87,582,10.1,87.0,247
"Bazzana, Travis",False,0.259,0.287,0.284,0.424,0.371,9.953086571842698,-1.2118278542019052,33.16421459624674,35.2112676056338,0.251,20.2,0,42,14,2,9,67.2,6.9,267,149,581,15.2,87.5,213
"Butler, Lawrence",False,0.271,0.231,0.261,0.322,0.377,4.77143963122113,6.116218818947303,31.332838199213096,44.56521739130434,0.214,23.8,0,37,9,1,5,71.8,6.9,244,165,579,3.9,88.4,186
"Hicks, Liam",False,0.269,0.314,0.275,0.453,0.363,6.012346422303459,-4.63194339206104,31.74910748002232,30.4635761589404,0.284,8.2,0,69,9,1,14,66.1,6.7,329,63,577,13.5,84.7,302
"Vargas, Ildemaro",True,0.299,0.299,0.282,0.417,0.397,4.763008808668604,-5.142363419315682,22.63787002362432,34.751773049645394,0.279,6.9,0,60,14,3,7,68.5,7.3,303,82,572,9.0,86.8,281
"Mead, Curtis",False,0.332,0.346,0.268,0.542,0.497,4.789874218877092,-3.8552259017323856,31.002740158794392,42.72727272727273,0.275,15.3,0,37,17,1,17,70.4,7.0,262,103,569,15.8,88.0,222
"Suárez, Eugenio",False,0.249,0.287,0.28,0.449,0.376,17.19994699895283,-3.147991598500593,39.11295974143772,33.33333333333333,0.23,32.8,0,31,11,0,14,68.8,7.7,244,199,569,20.3,88.4,164
"Goldschmidt, Paul",False,0.3,0.339,0.292,0.52,0.455,10.863369794299851,4.4887581601161655,32.45872975734844,37.3134328358209,0.279,19.9,0,43,10,1,16,69.9,7.5,251,151,563,13.6,86.4,201
"Soto, Juan",False,0.382,0.357,0.274,0.554,0.605,12.282782003219497,2.459469615373797,28.13299722123314,48.97959183673469,0.289,13.9,0,52,8,2,21,69.6,7.0,287,116,562,16.3,92.0,247
"Kwan, Steven",False,0.275,0.255,0.276,0.326,0.35,1.22204374355437,-1.1858954740903282,35.80141812426677,9.731543624161072,0.26,6.3,0,66,13,2,1,60.5,6.1,319,48,558,12.3,81.5,299
"Lewis, Royce",True,0.264,0.258,0.251,0.392,0.393,10.596042544047394,-8.217451657106176,25.91494496742048,41.26984126984127,0.217,25.3,0,32,13,0,10,72.3,8.0,253,187,550,20.8,89.3,189
"Murakami, Munetaka",False,0.345,0.365,0.291,0.605,0.579,17.880619844313053,0.8263479170039207,35.31760309611867,59.73154362416108,0.267,32.6,0,29,8,0,22,73.3,7.8,221,231,546,14.7,94.2,149
"Schneemann, Daniel",True,0.264,0.244,0.279,0.346,0.384,14.181439320725255,0.1602006045099884,33.026492356467095,37.42690058479532,0.222,26.9,0,35,11,0,6,69.5,7.0,234,172,546,12.0,87.9,171
"Collins, Isaac",True,0.272,0.29,0.31,0.41,0.368,3.8095017710088666,-6.783396613298055,28.5308755278602,40.625,0.267,18.5,0,48,18,1,6,70.2,6.7,275,120,544,15.5,87.0,224
"Larnach, Trevor",False,0.308,0.342,0.343,0.485,0.435,6.924339251439707,-12.060137447317445,33.16039058461151,34.23423423423424,0.312,14.9,0,53,19,1,8,69.8,7.1,261,137,539,13.4,86.9,222
"Wilson, Jacob",True,0.272,0.296,0.287,0.408,0.359,2.7333768335149142,0.928535278192897,34.60625735151408,27.54237288135593,0.28,9.2,0,55,10,1,7,62.5,6.1,262,76,538,6.9,83.3,238
"Realmuto, J.T.",False,0.284,0.258,0.267,0.372,0.396,11.342676418094396,0.3355296211918104,32.55754615039985,41.5,0.233,20.2,0,39,13,0,7,71.6,7.4,253,127,530,10.7,89.5,202
"Grisham, Trent",False,0.321,0.28,0.226,0.429,0.484,13.31782064819424,-0.155182178212378,28.340774524323592,45.22821576763486,0.234,10.4,0,36,14,2,11,68.6,7.3,269,92,530,17.2,90.9,241
"Massey, Michael",False,0.287,0.312,0.304,0.456,0.417,14.48895092319998,-1.1147166891844436,33.540626569371504,41.474654377880185,0.28,15.2,0,44,19,0,8,69.8,7.0,256,108,529,15.2,88.8,217
"McLain, Matt",False,0.284,0.241,0.243,0.358,0.421,9.587589001047432,1.7935318315600248,30.65182061699419,38.58695652173913,0.207,24.6,0,30,13,0,8,69.6,6.8,248,144,525,18.9,87.6,187
"Alexander, Blaze",False,0.347,0.339,0.396,0.46,0.489,6.763765425044373,6.77760091979515,36.80794841977684,49.40476190476191,0.325,20.4,0,51,12,2,4,70.0,7.2,216,136,525,9.4,90.8,170
"Vierling, Matt",False,0.281,0.225,0.223,0.328,0.389,8.121546875758332,-0.3122312535056723,31.121138571955345,36.81818181818181,0.203,15.6,0,34,12,2,5,69.7,7.4,262,96,523,17.6,87.5,221
"Canzone, Dominic",True,0.346,0.343,0.278,0.541,0.534,12.688546039488442,-1.6882202788724054,31.983248604429985,46.79802955665024,0.274,18.1,0,36,15,1,16,72.9,7.3,248,148,523,9.0,92.0,203
"Thomas, Lane",True,0.297,0.3,0.275,0.45,0.424,8.079985261695514,-1.435026696851872,26.97893248072885,42.21105527638191,0.256,17.8,0,36,16,0,10,70.5,6.8,242,109,522,18.3,89.4,199
"McKinstry, Zach",False,0.25,0.228,0.235,0.322,0.335,7.362180133422666,1.400601729286368,37.72979536437447,22.22222222222222,0.212,15.2,0,36,8,3,4,66.8,6.6,244,88,522,14.2,84.5,207
"Hernández, Teoscar",False,0.299,0.291,0.327,0.417,0.437,10.15501491527151,2.7383753436502807,33.394179032340325,44.0,0.265,26.1,0,44,11,0,8,70.6,7.7,238,168,521,15.3,89.3,176
"Moniak, Mickey",False,0.285,0.361,0.308,0.578,0.446,13.665993803226572,-6.861246538019278,33.321020321696736,43.42857142857143,0.285,23.2,0,35,11,3,16,72.7,7.8,228,148,517,22.0,89.6,175
"Young, Jacob",False,0.3,0.281,0.264,0.408,0.423,10.39651474970618,0.4816943876385727,30.99963067217052,35.0210970464135,0.249,14.7,0,45,13,2,9,66.4,6.9,279,108,513,10.8,87.4,238
"Martínez, Angel",True,0.295,0.294,0.25,0.45,0.426,8.380954015583544,-7.4555691437779,34.6528275077258,36.36363636363637,0.242,17.6,0,31,11,1,11,68.2,7.1,227,100,513,12.5,86.1,187
"Carpenter, Kerry",False,0.266,0.272,0.24,0.434,0.406,17.399358941820335,0.0817780894975989,35.29416487766726,44.0251572327044,0.214,28.8,0,28,5,2,13,70.1,7.3,226,146,511,21.4,89.8,159
"Lukes, Nathan",False,0.266,0.307,0.317,0.416,0.349,5.426259597477465,9.729417503725092,30.74571244756777,27.411167512690355,0.295,11.7,0,49,11,0,5,65.5,6.3,223,92,511,9.6,84.8,197
"Hoskins, Rhys",True,0.229,0.245,0.219,0.403,0.356,16.24172655598362,-5.115871706771615,33.70895050714444,39.18918918918919,0.186,32.7,0,17,13,0,11,69.5,8.2,220,166,508,26.9,88.6,148
"Peña, Jeremy",False,0.333,0.356,0.344,0.513,0.465,10.75513275799442,-6.262136405010361,30.242116488190643,39.79057591623037,0.32,16.2,0,52,10,0,11,70.7,7.3,228,141,507,11.8,88.2,191
"Cruz, Oneil",False,0.365,0.363,0.377,0.546,0.568,7.126826595618783,-5.200485931641764,33.14462247435355,60.0,0.306,29.6,0,42,10,0,14,76.6,7.5,216,191,505,7.6,96.0,152
"Andujar, Miguel",False,0.282,0.299,0.291,0.433,0.385,6.940480426256894,-2.393731001222964,26.03535129285609,36.318407960199,0.266,13.7,0,35,20,2,5,69.4,7.5,233,93,504,6.6,88.3,201
"Stephenson, Tyler",True,0.334,0.298,0.306,0.432,0.511,11.850252656208006,1.688274021408272,37.683596693481775,47.159090909090914,0.266,21.0,0,40,13,0,8,69.2,7.4,229,130,501,17.7,90.9,181
"Ozuna, Marcell",False,0.286,0.247,0.263,0.356,0.433,14.519440750184296,-4.00083357225801,36.40481299793339,38.853503184713375,0.219,26.9,0,34,6,0,8,71.9,7.3,219,152,501,19.9,89.3,160
"Keith, Colt",False,0.318,0.301,0.298,0.428,0.457,9.306443477778052,-0.8597301805402509,31.49114618793746,41.333333333333336,0.274,15.0,0,51,12,2,8,70.2,6.8,266,104,499,12.2,88.6,226
"Vientos, Mark",False,0.294,0.261,0.234,0.4,0.461,12.811884475281373,0.8323634181253265,31.714248788841537,43.82022471910113,0.216,23.3,0,30,9,0,11,71.8,7.5,232,157,498,15.6,89.5,178
"Ewing, A.J.",True,0.304,0.323,0.356,0.459,0.435,7.425419453884648,-0.1390793681566607,37.50859689274765,41.86046511627907,0.295,22.5,0,45,12,1,7,67.3,6.4,222,126,498,10.5,88.6,172
"Griffin, Konnor",True,0.289,0.311,0.363,0.433,0.42,8.463223474954273,0.1556114396515637,33.06800184058305,37.267080745341616,0.292,23.6,0,45,10,2,5,72.7,7.6,212,157,496,5.6,87.0,162
"Alvarez, Francisco",False,0.319,0.321,0.32,0.477,0.495,9.779792613227892,0.3954668884252729,29.22559474438825,44.171779141104295,0.276,25.1,0,41,7,0,12,72.5,7.2,219,160,492,10.9,90.3,162
"Kelly, Carson",False,0.281,0.292,0.302,0.398,0.403,9.24442758187485,-2.4405745290458745,32.93416688269069,37.37373737373738,0.277,14.3,0,48,10,0,6,69.7,6.8,231,101,491,11.1,87.9,198
"García, Adolis",True,0.266,0.235,0.266,0.35,0.386,9.06616349060499,0.476468678220139,29.03378613758185,48.0,0.205,31.8,0,29,8,1,7,69.9,7.6,220,170,491,14.5,92.1,150
