"id","name","bat_side","side","avg_batter_y_position","avg_batter_x_position","avg_foot_sep","avg_stance_angle","avg_intercept_y_vs_batter","avg_intercept_y_vs_plate"
646240,"Devers, Rafael","L","L",22.1505975937608,26.18547406145714,30.781646996457766,-62.48440542538557,28.069903644094705,5.919306050333947
691718,"Crow-Armstrong, Pete","L","L",30.856699219549977,26.75432064796962,33.81310961148186,-1.4345135130893696,35.50912280217007,4.7512585585632365
677594,"Rodríguez, Julio","R","R",20.41304234570069,29.7162296058054,30.29531386996722,1.392561696437259,32.40918436167234,12.050092718026132
682985,"Greene, Riley","L","L",29.246681997054154,24.937430205324702,28.510886749807447,-7.476528176325734,31.61853453610491,2.516580426321479
592206,"Castellanos, Nick","R","R",29.41794836412645,29.396332401555338,27.383472395711628,-17.765288691316304,30.780029450252133,1.42576269617458
621566,"Olson, Matt","L","L",31.029837639475478,30.175854958382523,31.512589099178562,-9.874153532331748,32.044295001287836,1.127298802119082
694192,"Chourio, Jackson","R","R",24.71809376849089,30.456866965155754,40.620936956575285,1.0469005716612696,27.79350476259018,3.075410994099286
592518,"Machado, Manny","R","R",23.772872258765275,30.912809130582612,31.36160352502419,-38.76504593685889,30.745103849874294,6.972231591109015
680776,"Duran, Jarren","L","L",28.706926032541553,30.991856983215378,22.710452423573724,-2.4890270037608304,30.32487144550943,1.6179454129678845
663586,"Riley, Austin","R","R",28.757094476532966,28.147913090967137,30.09719726789646,-10.462276383075503,35.550003084003876,6.846753369837362
596115,"Story, Trevor","R","R",25.14230038159601,29.845718925971283,35.76742967972402,-24.998971799409173,35.57452527677866,10.547847902955578
521692,"Perez, Salvador","R","R",29.60991501829418,27.239741786348457,33.12567946623151,-25.55370451681848,30.452652990592725,0.8427379722985364
666969,"García, Adolis","R","R",28.646054293660956,25.470060163896257,29.475477480619094,-15.492615854355776,31.245181364738194,2.6550595021834624
624413,"Alonso, Pete","R","R",24.223131946232222,27.33900998404493,30.56280624738659,3.970830741929779,28.96662041221916,4.743488465986971
553993,"Suárez, Eugenio","R","R",18.837406979011092,23.01582092371133,23.60828313526444,-21.244869210596786,35.582037094610094,16.74463011559895
677951,"Witt Jr., Bobby","R","R",27.29054065499023,24.995424854236163,32.797837668097124,-16.661093596638217,27.917278529973988,0.6889850195033773
671218,"Ramos, Heliot","R","R",25.44251851894963,27.794351859836855,28.92773902176832,-5.068914514636696,27.368942021546825,1.9264235025972312
607208,"Turner, Trea","R","R",28.898808426150556,28.616995878870984,38.0934160808214,-0.05669999935151457,29.233388381243397,0.20466581792666005
572233,"Walker, Christian","R","R",28.54178841048007,26.229416402371594,25.2068364634862,-17.324409543607022,31.165907582737837,2.624119172257771
592450,"Judge, Aaron","R","R",26.338375048563694,32.8992162325656,29.912410573593466,-4.668199836034425,30.571766908338468,4.233391859774745
663993,"Lowe, Nathaniel","L","L",26.265416399619617,30.595945259750405,33.48463806346752,-13.333112186026193,27.29700226893017,1.031585869310561
667670,"Rooker, Brent","R","R",31.16171825591637,27.383181901404093,27.52853143596753,-14.185464349218275,33.09288393809526,1.995566655566268
681624,"Pages, Andy","R","R",31.438867054864936,30.018894683787117,17.794243487936072,-16.12823968592912,31.05031658143625,-0.3885504734287153
660271,"Ohtani, Shohei","L","L",28.89592800607742,31.829663824904156,36.2269727133528,-9.246265038401896,28.321891941171835,-0.5740360649056129
666182,"Bichette, Bo","R","R",27.760730218960187,25.318387396583535,33.56102144127269,2.498320137489585,25.399023740825726,-2.4188974923621025
642715,"Adames, Willy","R","R",29.218080160714553,29.2381656092891,33.154404542074246,-2.0509905543610834,31.455595712701484,2.2375155519869416
621020,"Swanson, Dansby","R","R",30.457192267939966,27.65854244004129,24.187269915309194,-12.43796441890194,32.13887332487447,1.6986241902009809
671732,"Butler, Lawrence","L","L",25.998837589387115,31.39305738604235,34.402946590568796,3.372230278344279,28.877480213164148,2.878642623777033
543760,"Semien, Marcus","R","R",27.852370984520487,23.937388520477512,30.619715761317675,-2.0720033703869793,30.671756362473744,2.89875341302254
668227,"Arozarena, Randy","R","R",20.339515380840744,24.764233684935007,18.924233830507067,3.5476036999149425,31.97622167590357,11.69915931425485
678882,"Rafaela, Ceddanne","R","R",29.841925227145968,27.031702223143974,23.511784921209635,-18.54173827791901,32.89468710975956,3.052761882613609
678246,"Vargas, Miguel","R","R",30.197704246662997,28.160793537551957,29.4100630813768,-5.76397884189008,35.40257182544332,5.241872360791763
663656,"Tucker, Kyle","L","L",27.942597226987402,30.31669254210048,36.52659640395954,-2.2347327931223755,28.452471199937925,0.5098739729505333
641355,"Bellinger, Cody","L","L",32.908843258052684,20.89092472882575,24.840343877163093,-9.37840517786054,29.90867234839306,-3.000170909659655
641487,"Crawford, J.P.","L","L",35.08174649169478,27.20063629392063,30.846557134460355,-29.62929139968111,36.434125502447785,1.3663490603186972
686469,"Pasquantino, Vinnie","L","L",28.962250547308305,31.506433946952416,39.38493716371596,-23.93855649953374,32.4594328433663,3.497182296057993
641857,"McMahon, Ryan","L","L",23.318869364744838,31.740758764886973,43.14436159906946,0.3724878682708353,27.06160569750912,3.742736332764249
