name,uid,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,scissor_kick,scissor_kick_l,scissor_kick_r
"Abrams, CJ",b682928_l,100.61654158815612,164.31973082099597,77.1486434454913,342.4918841453567,65.96955838274934,65.44619622641511,83.07736215633427,316.83570264150944,,,,,,,,,False,,
"Abreu, Wilyer",b677800_l,139.83052601036272,159.5527790673575,61.58210341968909,329.4270715025907,91.62710528497412,113.48828,49.62449326424866,323.3452862176166,,,,,,,,,False,,
"Adames, Willy",b642715_r,148.01842191155495,333.963194978602,152.3742267617689,151.77317021398002,132.02480639087017,305.6449385449358,135.20544684736092,84.71383372325248,,,,,,,,,False,,
"Adell, Jo",b666176_r,169.29566501872657,339.2815874157303,132.87831870162293,122.09690986267164,161.50303200998755,307.6859823220974,142.48944818976278,77.01694002496882,,,,,,,,,False,,
"Albies, Ozzie",b645277_s,157.08789553719012,174.49634314049587,40.48121322314047,351.592386446281,52.19890611570244,121.57639867768594,54.56898446280995,326.0953725619835,220.6000280254777,335.45179363057326,85.0132606369427,238.9228886624204,182.68813299363052,308.2454002547771,158.87261656050956,132.28572025477706,,False,False
"Alexander, Blaze",b677942_r,155.6242334657837,345.0639791611479,120.17058754966888,169.83138083885208,153.56402331125827,333.3782636644592,144.29552035320086,114.16192105960263,,,,,,,,,False,,
"Alonso, Pete",b624413_r,157.313248948787,323.0431150404313,156.0400170350404,140.0584649056604,156.49929617250675,302.14130716981134,142.13297164420484,67.10461218328841,,,,,,,,,False,,
"Altuve, Jose",b514888_r,110.6992676190476,245.12999841269848,78.1981326984127,92.2632873015873,95.15642634920631,212.23136063492063,199.8233511111111,30.58123809523812,,,,,,,,,True,,
"Alvarez, Francisco",b682626_r,152.84208073903002,329.9492024018475,119.54583464203232,144.16394826789838,141.28655187066977,314.18401293302543,129.1201851270208,83.56879260969977,,,,,,,,,False,,
"Alvarez, Yordan",b670541_l,109.53834023529414,127.69820070588236,76.65027647058824,335.89025505882364,77.37184988235298,76.08566494117647,92.55580705882352,309.58701552941176,,,,,,,,,True,,
"Andujar, Miguel",b609280_r,140.1764305116279,335.71967627906974,153.30648372093023,195.63731162790697,132.06181841860464,320.81387869767445,131.56797804651163,88.80391627906975,,,,,,,,,False,,
"Antonacci, Sam",b803011_l,72.41318974358974,129.29176205128203,49.73602461538462,342.55410461538463,47.70178051282053,95.63261948717948,55.05479794871795,315.2867158974359,,,,,,,,,False,,
"Aranda, Jonathan",b666018_l,113.7486103703704,154.12414518518517,72.96697777777783,322.97311111111105,56.486474074074096,90.32516444444444,69.83687407407405,318.4908355555556,,,,,,,,,False,,
"Arenado, Nolan",b571448_r,137.89118117647058,352.3697314957983,143.05160524369745,191.5471658487395,121.9911298151261,333.97829458823526,140.83303179831933,100.7030749579832,,,,,,,,,True,,
"Arozarena, Randy",b668227_r,165.1621165781711,302.7514912094396,175.42176259587018,188.65098666666668,150.09128023598817,277.27102182890854,179.24876625368728,39.40109899705014,,,,,,,,,True,,
"Arraez, Luis",b650333_l,123.29904527736132,216.032248035982,56.31614104947525,350.3347233583208,77.12698386806599,96.5964931934033,75.81245817091454,319.35999952023985,,,,,,,,,False,,
"Baldwin, Drake",b686948_l,120.94900420032316,177.62490778675283,76.63180174474962,336.7237280775444,62.09456749596123,59.856813182552486,73.45917001615508,303.8476580290792,,,,,,,,,False,,
"Basallo, Samuel",b694212_l,123.33636605166056,206.9694302583026,66.39640059040589,350.7080912177122,62.8916351291513,119.39900870848706,79.52601682656828,327.1588876752768,,,,,,,,,True,,
"Baty, Brett",b683146_l,93.7922861744966,164.52877530201343,80.50633154362419,331.9416899328859,83.76409664429531,73.68175651006712,70.8666553020134,302.72833073825507,,,,,,,,,False,,
"Bauers, Jake",b641343_l,124.74410491803278,233.5864655737705,77.66446805100186,333.49067657559203,66.57119210237663,123.48717367458867,72.60896438756858,320.9359420840951,,,,,,,,,False,,
"Bazzana, Travis",b683953_l,64.57811674796746,205.92198341463416,61.91972878048779,351.8732074796749,79.07495577235775,88.98122536585366,72.97031219512196,314.48395609756096,,,,,,,,,False,,
"Bell, Josh",b605137_s,135.7935396407186,143.5816213972056,92.262925988024,341.41537021956094,67.02479968063874,89.51382323353295,82.68822514970064,320.7464226746507,144.6405525423729,343.4084481355932,109.24627661016945,162.5512759322034,143.2691715254238,327.0914033898305,158.52752271186444,134.89840745762714,,False,False
"Bellinger, Cody",b641355_l,88.07784941877794,221.27847630402383,44.82740196721312,345.8684861997019,96.73362527570794,129.58575570789867,61.06632154992549,336.41955767511183,,,,,,,,,False,,
"Benge, Carson",b701807_l,113.1736980332829,158.16710559757942,83.4087721633888,341.1813840847201,51.39045107413008,66.1036245688351,87.33491534039334,300.80458771558244,,,,,,,,,False,,
"Benintendi, Andrew",b643217_l,81.72147310344829,187.3724988747732,62.41777451905625,326.2322343375681,75.56637818181818,67.1566146909091,66.1289416727273,305.75868654545457,,,,,,,,,False,,
"Bichette, Bo",b666182_r,156.24694552179653,326.8327349009247,161.9528746103038,143.05767608982828,138.2655241215324,289.365697648613,149.37176792602378,105.5933178335535,,,,,,,,,True,,
"Bleday, JJ",b668709_l,162.4077629514563,158.33628178640777,79.46665631067962,328.8550856699029,79.76464155339809,78.9161304854369,74.2646974757281,313.5512090097087,,,,,,,,,False,,
"Bogaerts, Xander",b593428_r,141.126437398374,321.0701492682928,129.8956211382114,150.18517040650408,127.75990081300816,309.67824715447153,153.01679121951216,79.98094276422765,,,,,,,,,True,,
"Bohm, Alec",b664761_r,147.05355914893616,332.68905191489364,124.83011404255322,123.06327829787232,143.639765106383,316.0317480851064,144.5964663829787,56.17649361702129,,,,,,,,,False,,
"Bregman, Alex",b608324_r,153.55084571428574,346.5285085714286,163.12293142857138,184.2760223809524,169.75057764530555,334.6923362146051,169.58149627421756,96.81479153502237,,,,,,,,,False,,
