name,uid,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8
"Abrams, CJ",b682928_l,99.47733006597548,174.7021276531574,75.90432542884069,341.5863716493874,63.88327969811324,65.01437056603775,81.50011833962265,316.0026646037736,,,,,,,,
"Abreu, Wilyer",b677800_l,139.3562456879039,162.09725916897506,60.52053894736838,329.67905447830105,93.39185831948296,115.1547455586334,49.41219427516161,324.0138201292706,,,,,,,,
"Acuña Jr., Ronald",b660670_r,165.83558382393394,338.9791223108666,107.43806459422288,167.77393606602476,126.63744022008254,307.04613259972496,171.64153617606604,77.16690156808804,,,,,,,,
"Adames, Willy",b642715_r,147.04632656361477,333.67860908442333,152.20278506539833,152.65826929845423,131.6025986206897,304.79103980975026,135.92621374554105,83.25855733650417,,,,,,,,
"Adell, Jo",b666176_r,166.29665476486247,339.49422864241353,130.2360195918367,124.87676677905944,158.210399148181,305.9329561668145,143.93025419698316,74.28831900621114,,,,,,,,
"Albies, Ozzie",b645277_s,157.51893714285717,177.72633714285712,40.08736571428573,352.6784028571428,51.45650857142856,123.63060000000002,54.74751142857144,327.34364000000005,219.83939612903225,335.40360774193545,84.28641032258065,236.6361651612904,181.7045504477612,307.27317452736315,159.44060815920398,130.93353751243782
"Alonso, Pete",b624413_r,159.73977814744808,323.46962843100187,160.42658903591683,136.4923850283554,158.64471712665403,302.54421504725894,146.03306177693767,67.26635977315688,,,,,,,,
"Altuve, Jose",b514888_r,108.3831312169312,249.9292668783069,75.25872402116401,98.90396105820103,94.23748042328045,217.7285667724868,201.3894617989418,36.810568465608455,,,,,,,,
"Alvarez, Francisco",b682626_r,153.08796408163266,328.64209632653063,114.63981714285715,143.1192130612245,141.84994938775515,314.3354546938775,128.27338448979594,84.37571918367348,,,,,,,,
"Alvarez, Yordan",b670541_l,106.26578666666668,129.45539333333335,74.47564444444443,336.97288444444445,75.31404222222227,78.24697555555557,90.5715955555556,310.3172911111111,,,,,,,,
"Antonacci, Sam",b803011_l,72.34155191489363,128.38964617021276,47.67814553191491,341.8480695744681,44.588128510638285,94.0252940425532,53.099723617021326,313.39587127659576,,,,,,,,
"Aranda, Jonathan",b666018_l,116.83080285148516,154.4376879207921,74.60225568316832,322.862399049505,56.713436039603934,89.39034835643565,71.51258455445543,318.10430225742573,,,,,,,,
