"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
62,621512,"Nido, Tomás",119,52.1,0.393,0,0.5,0.393,0.348,0.312,0.32,11,28,87.9,14,2316,91.2,91.39,15,62,0,0.20000000000000284,6.46,109,148,119,144,305,325,292,"0.811","-0.811","69.0","7.7",28,22,11,0,0,0,6,21.4,0,0,1.98468,0.78839,0.36806,0.13645,"90.9",170,40.909090909090914,0,0,5.8,-0.87,0,2.46,0.393,0,"-1.308064516",0.32,0.403,"1.308064516",0.073,0.07300000000000001,-0.01,0.036,24.2,"35.7",12.342372511808215,7.034396422725507,31.43421837534856,0.6129032258064516,40.99063428370114,23.222534590257123
39,686452,"Millas, Drew",92,42.4,0.389,0.056,0.412,0.444,0.365,0.289,0.307,7,18,86,4.8,2282,89.7,90,6,39,0,0.29999999999999716,6.54,109,146,116,150,297,323,298,"-0.358","0.358","66.9","6.7",18,17,6,1,0,0,1,5.6,0,0,2.21615,0.65359,0.33897,-0.33897,"90.2",110,29.411764705882355,0,0,5.68,-1.14,0.08,2.35,0.389,0,"0.917948718",0.307,0.36,"-0.917948718",0.082,0.08200000000000002,0.084,0.076,15.4,"34.4",1.8054920056823132,0.4696353531939381,33.86190505824566,0.3076923076923077,33.40715874877979,25.079277278650945
729,592450,"Judge, Aaron",1779,41,0.381,0.443,0.398,0.824,0.5,0.485,0.34,117,307,95.7,19.2,2269,89.8,89.88,243,729,0,0.10000000000000853,6.42,107,152,124,146,308,332,297,"-27.409","27.409","76.9","8.1",312,238,57,21,2,37,74,23.7,0,0,2.31863,0.55821,0.30337,0.15696,"94.4",183,58.40336134453782,27.310924369747898,20.833333333333336,5.79,-1.14,0.04,2.59,0.375,65,"3.759807956",0.337,0.837,"-3.759807956",0.041,0.03799999999999998,-0.013,0.015,33.3,"38.4",14.621116725336536,-6.1634178322710245,38.53215304717139,0.5253772290809328,41.70096272424268,30.60101004978445
61,669369,"Johnson, Bryce",173,35.3,0.379,0.103,0.524,0.483,0.374,0.296,0.299,11,29,85.2,8.1,2245,89,89.21,15,61,0,0.20000000000000284,6.46,110,149,110,150,291,318,295,"-0.843","0.843","68.2","7.4",29,21,8,3,0,0,8,27.6,0,0,2.58984,0.33115,0.43967,-0.43967,"90.3",133,23.809523809523807,4.761904761904762,3.4482758620689653,5.73,-0.17,0.04,2.31,0.379,1,"1.381967213",0.299,0.383,"-1.381967213",0.08,0.08000000000000002,0.1,0.078,24.6,"34.8",9.261902105185124,3.155866499781405,36.98783902056602,0.45901639344262296,36.56433131659207,30.07370225026566
22,571466,"Barnhart, Tucker",58,37.9,0.375,0,0.429,0.375,0.332,0.225,0.233,3,8,87.5,4.4,2169,86.9,86.73,1,22,0,-0.20000000000000284,6.34,119,147,114,151,282,318,299,"0.564","-0.564","66.5","7.1",8,7,3,0,0,0,1,12.5,0,0,2.63727,0.64286,0.47136,-0.04955,"90.1",104,14.285714285714285,0,0,5.44,-0.44,0.02,2.26,0.375,0,"-2.563636364",0.233,0.294,"2.563636364",0.142,0.142,0.081,0.107,4.5,"30.0",7.8275009805227755,-2.069481155596546,31.024133254636137,0.5909090909090909,35.31519302613918,32.04382671164623
33,807712,"Keaschall, Luke",95,34.7,0.375,0.188,0.4,0.563,0.402,0.313,0.266,6,16,90.1,17.6,2402,88.6,88.54,4,33,0,-0.09999999999999432,6.3,104,145,112,140,302,323,289,"-0.428","0.428","64.5","6.3",16,15,3,3,0,0,1,6.3,0,0,2.55515,0.38939,0.19406,0.05844,"91.6",171,40,13.333333333333334,12.5,5.79,-0.37,0.18,2.52,0.375,2,"1.296969697",0.266,0.479,"-1.296969697",0.109,0.10899999999999999,0.084,0.089,12.1,"33.1",8.423067449180012,0.6124441057899516,37.4198884825231,0.45454545454545453,37.16642574768772,30.731514368038713
34,682653,"Bernabel, Warming",73,46.6,0.375,0.5,0.286,0.875,0.524,0.36,0.314,6,16,90.1,24,2135,87.8,87.87,6,34,0,0.10000000000000853,6.34,109,152,128,147,304,320,294,"-3.64","3.64","70.5","7.6",16,16,2,2,0,2,0,0,0,0,2.46676,0.53,0.17206,-0.11441,"92.6",169,43.75,12.5,12.5,5.65,-0.38,0.21,2.31,0.375,2,"10.705882353",0.314,0.531,"-10.705882353",0.061,0.061,0.344,0.164,17.6,"34.7",3.3080205392428703,-17.57776870568422,32.73246555569453,0.4117647058823529,35.43740799791801,34.01939776600882
79,690924,"Fulford, Braxton",174,45.4,0.37,0.259,0.429,0.63,0.409,0.318,0.273,10,27,88.4,15,2404,89,89.46,24,79,0,0.5,6.41,107,151,121,147,307,326,297,"-0.274","0.274","71.6","6.7",28,22,6,2,1,1,6,21.4,0,0,2.38646,0.51152,0.11228,0.00367,"93.0",190,54.54545454545454,4.545454545454546,3.571428571428571,5.73,-0.66,0.06,2.31,0.357,1,"0.346835443",0.267,0.502,"-0.346835443",0.097,0.08999999999999997,0.128,0.091,30.4,"38.8",12.10371747690785,-8.021344507248891,29.643501808873715,0.46835443037974683,34.63286236442746,36.73354540514335
430,701762,"Kurtz, Nick",1147,37.5,0.363,0.43,0.392,0.793,0.478,0.421,0.315,70,193,94.6,17.7,2230,89.2,89.23,132,430,0,0,6.4,118,146,131,152,297,327,304,"-14.183","14.183","77.7","7.7",196,146,31,16,2,21,50,25.5,0,0,2.36865,0.54619,0.38835,-0.24393,"94.1",182,56.16438356164384,21.232876712328768,15.816326530612246,5.73,-1.11,-0.03,2.45,0.357,31,"3.298372093",0.312,0.699,"-3.298372093",0.048,0.044999999999999984,0.094,0.057,30.7,"35.9",13.209692710826808,0.4988722895909348,38.58151812000861,0.46744186046511627,36.33623003721037,25.37986230410139
25,665877,"Fermín, José",79,31.6,0.357,0.286,0.364,0.643,0.426,0.329,0.303,5,14,89.5,21.3,2278,89.3,89.78,3,25,0,0.5,6.57,109,153,118,149,302,315,291,"-0.762","0.762","68.0","7.3",14,12,3,1,0,1,2,14.3,0,0,2.2996,0.586,0.258,0.2596,"90.7",200,33.33333333333333,0,0,5.66,-1.37,0.04,2.39,0.357,0,"3.048",0.303,0.465,"-3.048",0.054,0.05399999999999999,0.178,0.097,12,"38.4",9.828982564240977,-4.534501071606524,34.959667504195835,0.64,33.95351805845539,30.46008773798126
