"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
644,663538,"Hoerner, Nico",1513,42.6,0.294,0.093,0.296,0.388,0.294,0.298,0.299,101,343,87.1,14.4,2319,90,90.2,60,644,0,0.20000000000000284,6.45,109,150,116,147,299,317,285,"10.04","-10.04","68.4","7.2",345,332,79,16,2,4,13,3.8,0,0,2.24748,0.62668,0.3548,0.13788,"90.8",157,28.915662650602407,2.710843373493976,2.608695652173913,5.8,-0.99,0.05,2.31,0.293,9,"-1.559006211",0.297,0.397,"1.559006211",-0.005,-0.0040000000000000036,-0.009,-0.004,9.3,"37.6",5.670040789354455,-2.10394837750752,33.43130580870754,0.4782608695652174,35.70646140380176,27.194046173537416
243,642731,"Estrada, Thairo",503,48.3,0.294,0.134,0.308,0.429,0.304,0.268,0.26,35,119,87.4,7.3,2297,89.7,90.15,46,243,0,0.5,6.4,109,151,118,146,303,327,297,"3.647","-3.647","71.7","7.2",122,107,25,7,0,3,15,12.3,0,0,2.3179,0.54372,0.30436,0.08593,"91.6",146,31.132075471698112,3.7735849056603774,3.278688524590164,5.82,-0.88,0.1,2.36,0.287,4,"-1.500823045",0.257,0.366,"1.500823045",0.034,0.02999999999999997,0.063,0.036,18.9,"39.1",10.92767073114612,-4.083111913434594,30.36484882448698,0.5761316872427984,36.43241503147813,35.36279235035793
579,676391,"Clement, Ernie",1278,45.3,0.294,0.107,0.3,0.401,0.296,0.274,0.272,96,327,87.1,17.6,2233,88.5,88.51,58,579,0,0,6.42,108,151,111,146,295,318,285,"13.609","-13.609","67.3","7.0",332,311,70,21,1,4,21,6.3,0,0,2.43147,0.56423,0.30952,-0.09443,"90.8",160,25.080385852090032,1.929260450160772,1.8072289156626504,5.74,-0.47,0.1,2.4,0.289,6,"-2.350431779",0.271,0.363,"2.350431779",0.022,0.01799999999999996,0.038,0.022,10,"37.4",11.387551671494087,-2.568926690484016,32.05946736700344,0.5975820379965457,37.88619840126913,30.461291808507443
565,673962,"Jung, Josh",1238,45.6,0.293,0.167,0.315,0.459,0.323,0.343,0.296,72,246,88.8,11.7,2236,89.2,89.36,132,565,0,0.20000000000000284,6.51,108,150,122,145,306,326,294,"5.766","-5.766","70.4","7.0",246,207,52,9,1,10,39,15.9,0,0,2.38269,0.54679,0.38628,0.02507,"91.7",162,45.36585365853659,8.292682926829269,6.910569105691057,5.76,-0.54,-0.06,2.43,0.293,17,"-1.020530973",0.296,0.512,"1.020530973",-0.003,-0.0030000000000000027,-0.053,-0.02,23.4,"37.9",11.705684360841273,2.4725660539062435,37.81434946469832,0.5469026548672566,32.940711490588434,32.47768604701983
694,650490,"Díaz, Yandy",1751,39.6,0.293,0.201,0.291,0.494,0.332,0.351,0.304,102,348,93.7,6.2,2277,89.8,90.08,121,694,0,0.29999999999999716,6.41,109,149,124,147,305,322,284,"5.912","-5.912","73.7","7.7",353,309,67,17,1,17,44,12.5,0,0,2.2488,0.61301,0.42788,0.16854,"93.9",161,55.048859934853425,10.097719869706841,8.78186968838527,5.72,-0.6,0.09,2.4,0.289,31,"-0.851873199",0.305,0.516,"0.851873199",-0.011,-0.016000000000000014,-0.022,-0.019,17.4,"36.9",3.396456680255857,6.084142058769452,24.22691866367509,0.37896253602305474,38.00084652031031,30.484149315910965
813,592206,"Castellanos, Nick",1580,51.5,0.293,0.177,0.317,0.47,0.323,0.331,0.289,96,328,89.4,16,2314,88.7,88.85,225,813,0,0.20000000000000284,6.45,106,150,122,146,300,324,290,"12.318","-12.318","70.4","7.6",331,279,61,23,1,11,52,15.7,0,0,2.46031,0.48409,0.19855,-0.11916,"91.4",158,38.1294964028777,8.992805755395683,7.552870090634441,5.9,-0.5,0.11,2.49,0.29,25,"-1.515129151",0.288,0.497,"1.515129151",0.004,0.0020000000000000018,-0.027,-0.008,27.7,"38.8",14.812950434315605,-3.94264789185429,39.47309457256583,0.4920049200492005,38.96947970987753,30.784714101862228
656,514888,"Altuve, Jose",1576,41.6,0.292,0.197,0.297,0.489,0.329,0.285,0.261,93,319,85.8,17.9,2304,89.5,89.38,118,656,0,-0.09999999999999432,6.42,106,151,110,145,292,323,290,"4.372","-4.372","69.4","7.5",323,278,61,16,1,15,45,13.9,0,0,2.38064,0.52582,0.32193,0.16285,"91.1",143,32.12996389891697,5.415162454873646,4.643962848297214,5.74,-1.22,0.05,2.22,0.288,15,"-0.666463415",0.26,0.409,"0.666463415",0.031,0.02799999999999997,0.08,0.044,18,"36.0",14.96709889810017,-4.953932907933893,28.65929842338411,0.5640243902439024,38.70540989845916,29.399089714734078
42,673490,"Kim, Ha-Seong",139,30.2,0.292,0.167,0.316,0.458,0.322,0.365,0.33,7,24,93.1,15.2,2305,90.4,90.75,5,42,0,0.3999999999999915,6.41,109,151,116,146,294,318,284,"-0.176","0.176","69.3","6.9",24,20,5,1,0,1,4,16.7,0,0,2.23143,0.58381,0.46357,0.27881,"93.9",180,60,15,12.5,5.56,-1.22,-0.08,2.31,0.292,3,"0.419047619",0.33,0.529,"-0.419047619",-0.038,-0.038000000000000034,-0.071,-0.043,11.9,"32.4",5.122579428696766,-2.4631874229980264,25.26080772748719,0.42857142857142855,34.13286827857815,34.07413384671331
199,690022,"Ritter, Ryan",418,47.6,0.292,0.139,0.345,0.431,0.305,0.248,0.246,21,72,84.3,8.1,2361,90.5,91.09,73,199,0,0.5999999999999943,6.42,107,152,112,147,308,331,299,"5.007","-5.007","69.5","6.6",73,59,15,3,2,1,14,19.2,0,0,2.23955,0.5603,0.27412,0.10668,"90.2",162,30.508474576271187,1.694915254237288,1.36986301369863,5.63,-0.99,0.03,2.43,0.288,1,"-2.516080402",0.249,0.321,"2.516080402",0.046,0.03899999999999998,0.11,0.057,36.7,"36.2",10.887674474429241,0.8685384650639535,34.82253039370629,0.45226130653266333,35.866988143759805,28.536940525097158
203,678554,"Mead, Curtis",533,38.1,0.292,0.146,0.299,0.438,0.311,0.328,0.306,26,89,89.9,17.7,2263,90.1,90.46,33,203,0,0.4000000000000057,6.43,107,149,121,146,300,319,281,"3.353","-3.353","73.2","7.0",90,80,20,2,1,3,10,11.1,0,0,2.17153,0.66355,0.4399,-0.15446,"91.9",163,40.50632911392405,6.329113924050633,5.555555555555555,5.77,0.79,0.02,2.5,0.289,5,"-1.651724138",0.303,0.468,"1.651724138",-0.014,-0.014000000000000012,-0.03,-0.017,16.3,"37.3",1.8270631472244574,0.5061593109423707,34.04893989523958,0.3448275862068966,35.78801460370353,27.97807474724988
479,693307,"Dingler, Dillon",1070,44.8,0.292,0.156,0.34,0.448,0.317,0.343,0.303,73,250,89.7,18.4,2254,88.8,89.06,116,479,0,0.29999999999999716,6.46,107,151,123,146,300,326,294,"4.045","-4.045","72.0","7.7",251,199,51,13,1,8,52,20.7,0,0,2.36944,0.5718,0.243,-0.01137,"92.3",166,44.72361809045226,8.542713567839195,6.772908366533864,5.69,-0.98,0.2,2.22,0.291,17,"-0.844467641",0.304,0.5,"0.844467641",-0.011,-0.013000000000000012,-0.052,-0.026,24.2,"37.5",11.381202474032362,-1.039498896117358,39.19570208639296,0.5093945720250522,39.07148416897108,28.289013670062392
631,669701,"Smith, Josh",1530,41.2,0.292,0.158,0.308,0.451,0.318,0.318,0.295,83,284,88.8,15.1,2231,89.2,89.19,115,631,0,0,6.41,118,146,109,151,291,322,300,"10.719","-10.719","69.2","6.7",285,249,58,14,2,9,36,12.6,0,0,2.29843,0.63855,0.40903,-0.33522,"91.2",154,34.13654618473896,5.622489959839357,4.912280701754386,5.7,-0.86,0.05,2.21,0.291,14,"-1.698732171",0.294,0.452,"1.698732171",-0.003,-0.0030000000000000027,-0.001,0,18.2,"36.2",8.123490602540551,-2.051412181292479,36.176844800672505,0.4358161648177496,35.37682397211617,30.809549991010844
569,621043,"Correa, Carlos",1399,40.7,0.292,0.137,0.314,0.43,0.31,0.339,0.305,81,277,91.2,9.3,2265,90.8,91.08,116,569,0,0.29999999999999716,6.49,107,151,123,147,302,324,293,"11.552","-11.552","74.0","7.3",278,243,57,17,0,7,35,12.6,0,0,2.15541,0.64954,0.4861,0.19757,"93.2",154,46.69421487603306,6.6115702479338845,5.755395683453238,5.74,-0.81,0.11,2.47,0.291,16,"-2.030228471",0.305,0.49,"2.030228471",-0.013,-0.014000000000000012,-0.06,-0.029,20.4,"37.5",8.351203916303742,-2.704333305173313,31.835084126712335,0.44815465729349735,38.23358027481685,28.599011994060962
193,519317,"Stanton, Giancarlo",525,36.8,0.292,0.27,0.345,0.562,0.363,0.305,0.247,26,89,95.2,23.3,2263,88.4,88.32,74,193,0,-0.10000000000000853,6.36,108,150,123,145,307,331,293,"-0.666","0.666","80.8","8.9",89,62,16,3,0,7,27,30.3,0,0,2.44181,0.5458,0.21772,0.08933,"94.9",178,56.451612903225815,14.516129032258066,10.112359550561797,5.76,-0.87,0.02,2.37,0.292,9,"0.34507772",0.247,0.476,"-0.34507772",0.045,0.044999999999999984,0.086,0.058,38.3,"36.9",10.692221900969708,-6.6263175159865595,27.388713826766487,0.6113989637305699,41.9446885529196,27.99381767132548
527,595879,"Báez, Javier",1125,46.8,0.292,0.182,0.337,0.474,0.327,0.296,0.264,74,253,89.5,11,2276,88.1,88.32,143,527,0,0.20000000000000284,6.44,107,151,121,146,301,326,292,"2.718","-2.718","73.4","8.3",254,200,49,14,1,10,54,21.3,0,0,2.48142,0.50842,0.14287,-0.09519,"91.9",145,44.5,7.000000000000001,5.511811023622047,5.75,-0.61,0.2,2.3,0.291,14,"-0.515749526",0.265,0.429,"0.515749526",0.028,0.025999999999999968,0.045,0.031,27.1,"38.8",10.350339457668177,-6.252638964403265,30.211795409156657,0.5199240986717267,39.45351120503399,30.095129881670072
825,621566,"Olson, Matt",2102,39.2,0.291,0.233,0.31,0.525,0.344,0.372,0.295,95,326,93.7,15.4,2304,90.1,90.33,200,825,0,0.20000000000000284,6.43,116,147,131,152,302,329,304,"10.146","-10.146","73.7","7.4",329,266,55,22,0,18,63,19.1,0,0,2.27036,0.5801,0.30959,-0.05965,"93.0",179,54.13533834586466,16.165413533834585,13.069908814589665,5.78,-0.77,0.13,2.47,0.289,43,"-1.229818182",0.295,0.591,"1.229818182",-0.004,-0.006000000000000005,-0.066,-0.028,24.2,"36.5",8.461954381486807,1.3728774754487982,33.92382259990251,0.49454545454545457,37.29863091258125,32.13948838363659
484,643396,"Kiner-Falefa, Isiah",1192,40.6,0.291,0.074,0.326,0.364,0.283,0.266,0.272,75,258,85,2.8,2238,89.5,89.73,67,484,0,0.20000000000000284,6.43,107,150,113,148,304,318,284,"10.127","-10.127","66.4","6.9",259,228,60,12,2,1,31,12,0,0,2.35537,0.53121,0.41408,0.1106,"90.6",134,25,1.7543859649122806,1.5444015444015444,5.79,-0.81,-0.03,2.32,0.29,4,"-2.092355372",0.272,0.337,"2.092355372",0.019,0.01799999999999996,0.027,0.017,13.8,"39.1",4.901766075213105,3.255209588800508,32.77148707350771,0.3884297520661157,35.79217647168624,28.91794772635102
310,802415,"Simpson, Chandler",808,38.4,0.291,0.042,0.313,0.333,0.27,0.296,0.313,55,189,84.3,2.5,2242,90.2,90.44,32,310,0,0.20000000000000284,6.38,104,142,92,144,272,305,288,"9.362","-9.362","64.4","6.3",191,176,48,6,1,0,15,7.9,0,0,2.18271,0.69194,0.47,-0.26,"89.8",134,15.909090909090908,0,0,5.77,-0.97,0.01,2.51,0.288,0,"-3.02",0.316,0.361,"3.02",-0.022,-0.028000000000000025,-0.028,-0.026,10.3,"37.6",4.358307781980447,4.359794720750711,28.90394770874035,0.432258064516129,39.48526380884265,22.149371099375465
240,500743,"Rojas, Miguel",647,37.1,0.291,0.197,0.279,0.488,0.333,0.314,0.295,37,127,86.8,15.4,2242,88.6,88.69,36,240,0,0.10000000000000853,6.31,109,150,116,147,298,316,285,"-0.468","0.468","68.4","7.2",127,117,24,7,0,6,10,7.9,0,0,2.45696,0.55088,0.3977,-0.13527,"91.2",161,27.586206896551722,5.172413793103448,4.724409448818897,5.75,0.18,0,2.35,0.291,6,"0.195",0.295,0.439,"-0.195",-0.004,-0.0040000000000000036,0.049,0.019,15,"36.8",8.093770877834904,-5.201495603387773,32.56524808667364,0.5208333333333334,37.27283008629566,34.78844965254896
678,701358,"Smith, Cam",1524,44.5,0.29,0.143,0.361,0.433,0.31,0.319,0.29,85,293,88.9,7.7,2336,90.3,90.3,183,678,0,0,6.44,108,151,122,147,298,324,289,"12.371","-12.371","74.3","7.3",294,223,59,17,2,7,71,24.1,0,0,2.24609,0.60464,0.35468,0.09013,"92.0",151,43.49775784753363,7.174887892376682,5.442176870748299,5.76,-0.98,0.12,2.47,0.289,16,"-1.824631268",0.29,0.459,"1.824631268",0,-0.0010000000000000009,-0.026,-0.009,27,"36.7",6.388975307162322,-0.4534477274186304,37.78275078937671,0.387905604719764,40.082805934391736,28.429341796241857
404,502054,"Pham, Tommy",1092,37,0.29,0.125,0.329,0.415,0.299,0.305,0.285,58,200,92.7,9.1,2310,89.7,90.05,94,404,0,0.29999999999999716,6.5,108,150,122,146,308,321,288,"3.722","-3.722","73.2","7.0",203,168,42,11,1,4,35,17.2,0,0,2.3028,0.56995,0.26144,0.07851,"92.6",140,47.61904761904761,6.547619047619048,5.41871921182266,5.74,-0.74,0.08,2.36,0.286,11,"-0.921287129",0.282,0.433,"0.921287129",0.005,0.0040000000000000036,-0.018,-0.006,23.3,"38.1",7.963142295705439,-0.8855962752785735,27.10755258135643,0.5,37.84091892950539,32.59987775789502
580,665966,"Narváez, Carlos",1289,45,0.29,0.184,0.33,0.473,0.324,0.28,0.245,71,245,92.2,13.9,2272,89.5,89.63,152,580,0,0.09999999999999432,6.43,108,151,122,146,292,322,295,"6.889","-6.889","72.2","7.6",247,197,44,18,0,9,50,20.2,0,0,2.19971,0.69555,0.39251,0.04497,"92.3",158,45.68527918781726,9.137055837563452,7.28744939271255,5.71,-0.64,0.06,2.49,0.287,18,"-1.187758621",0.245,0.415,"1.187758621",0.045,0.04199999999999998,0.058,0.044,26.2,"37.1",9.419834193380773,1.6923249734723838,29.416836894490963,0.5362068965517242,38.263501340678296,30.541364673839748
508,664056,"Bader, Harrison",1229,41.3,0.289,0.209,0.333,0.498,0.333,0.283,0.246,68,235,87.4,13.3,2259,89.1,89.4,141,508,0,0.30000000000001137,6.49,107,150,120,145,299,324,292,"5.204","-5.204","73.3","7.2",237,180,43,13,0,12,57,24.1,0,0,2.33787,0.60389,0.29791,0.06575,"92.4",155,42.45810055865922,12.290502793296088,9.282700421940929,5.71,-0.54,0.11,2.38,0.287,22,"-1.024409449",0.244,0.427,"1.024409449",0.043,0.04299999999999998,0.071,0.05,27.8,"37.7",11.54616728739094,-5.7983227112364855,25.157880903235046,0.49803149606299213,37.65885169722435,33.76790829031162
495,606466,"Marte, Ketel",1272,38.9,0.289,0.269,0.274,0.558,0.358,0.389,0.313,72,249,92.3,13.9,2182,88.5,88.73,109,495,0,0.20000000000000284,6.44,116,148,122,150,299,328,303,"-0.161","0.161","74.8","7.9",250,215,41,13,0,18,35,14,0,0,2.49879,0.46817,0.39887,-0.39572,"94.2",145,50.697674418604656,16.27906976744186,14.000000000000002,5.74,-0.58,-0.04,2.25,0.288,35,"0.032525253",0.312,0.613,"-0.032525253",-0.024,-0.02400000000000002,-0.055,-0.031,22,"37.2",10.83117008447465,-8.152977194115078,32.24772393394099,0.6282828282828283,32.61224387434545,37.72099864309338
739,641487,"Crawford, J.P.",1912,38.7,0.289,0.106,0.317,0.395,0.295,0.319,0.302,98,339,87.6,12.2,2264,89.9,90.02,132,739,0,0.09999999999999432,6.41,116,146,113,151,285,319,297,"18.807","-18.807","70.9","7.0",340,294,76,15,0,7,46,13.5,0,0,2.14707,0.73567,0.40322,-0.17083,"91.3",160,35.738831615120276,5.498281786941581,4.705882352941177,5.76,-0.91,-0.05,2.29,0.288,16,"-2.544925575",0.301,0.444,"2.544925575",-0.013,-0.013000000000000012,-0.049,-0.024,17.9,"37.6",4.043393448890377,1.7265746842407355,36.24174545255042,0.3572395128552097,36.379318679795055,36.47144060104169
91,686765,"Sogard, Nick",242,37.6,0.289,0.111,0.317,0.4,0.297,0.355,0.319,13,45,90.3,14.7,2195,88.7,88.59,12,91,0,-0.10000000000000853,6.31,113,148,113,150,284,321,298,"3.06","-3.06","68.4","7.1",45,41,8,5,0,0,4,8.9,0,0,2.49791,0.54934,0.49769,-0.49769,"91.4",154,39.02439024390244,7.317073170731707,6.666666666666667,5.71,-0.73,-0.08,2.25,0.289,3,"-3.362637363",0.319,0.508,"3.362637363",-0.03,-0.030000000000000027,-0.108,-0.058,13.2,"35.5",16.10894715364808,-5.5091012981513074,32.65785884056606,0.5054945054945055,36.88366270258508,38.84007894038682
602,665742,"Soto, Juan",1995,30.2,0.288,0.265,0.266,0.552,0.352,0.444,0.342,88,306,94.3,12.2,2288,90.1,90.17,105,602,0,0.10000000000000853,6.45,115,146,125,151,299,327,305,"-4.32","4.32","73.3","7.0",310,270,51,15,0,22,40,12.9,0,0,2.23566,0.61573,0.39586,-0.14217,"94.3",171,55.39033457249071,18.21561338289963,15.806451612903224,5.72,-0.47,-0.02,2.44,0.284,49,"0.717607973",0.342,0.71,"-0.717607973",-0.054,-0.05800000000000005,-0.158,-0.092,17.4,"37.0",11.037818758049522,4.371830041505253,28.013165547004434,0.659468438538206,39.019243788980894,23.07177912665728
419,669720,"Hays, Austin",910,46,0.288,0.22,0.324,0.508,0.335,0.327,0.274,55,191,89.8,13.9,2297,89.2,89.25,128,419,0,0,6.36,107,150,121,146,299,323,293,"4.754","-4.754","72.1","7.1",193,151,35,7,4,9,42,21.8,0,0,2.43592,0.48084,0.27551,0.08181,"91.9",152,39.59731543624161,11.409395973154362,8.808290155440414,5.79,-0.8,0.09,2.33,0.285,17,"-1.134606205",0.277,0.485,"1.134606205",0.014,0.007999999999999952,0.023,0.008,30.5,"37.1",14.89421185343948,-5.4460100394178355,30.512778594018133,0.6563245823389021,38.004382127491084,35.48068202392325
728,668930,"Turang, Brice",1802,40.4,0.288,0.106,0.331,0.394,0.291,0.311,0.289,95,330,91,8.9,2262,91,91.3,142,728,0,0.29999999999999716,6.5,116,146,108,150,287,315,299,"15.472","-15.472","70.1","6.8",335,275,72,17,0,6,60,17.9,0,0,2.05699,0.73547,0.4209,-0.26186,"91.4",176,46.35036496350365,6.569343065693431,5.3731343283582085,5.78,-0.86,-0.04,2.49,0.284,18,"-2.125274725",0.287,0.436,"2.125274725",-0.001,-0.0030000000000000027,-0.042,-0.02,19.5,"39.4",6.328589770759252,8.672538270863614,30.49264660684885,0.42994505494505497,36.01663920688497,31.573259670721438
766,671218,"Ramos, Heliot",1806,42.4,0.287,0.174,0.319,0.461,0.316,0.315,0.272,99,345,91.9,11.6,2316,89.6,89.74,171,766,0,0.10000000000000853,6.4,107,151,123,147,305,323,291,"10.474","-10.474","73.8","6.8",350,283,66,19,1,13,67,19.1,0,0,2.26499,0.61588,0.25791,0.02215,"92.1",169,47.686832740213525,9.9644128113879,8,5.86,-0.7,0.04,2.36,0.283,28,"-1.367362924",0.27,0.477,"1.367362924",0.015,0.012999999999999956,-0.016,0.001,22.3,"38.7",6.159137510061955,2.14519849344341,31.828897678488524,0.47780678851174935,36.63719164880815,27.35935820540141
250,642708,"Rosario, Amed",532,47,0.287,0.156,0.29,0.443,0.313,0.341,0.325,35,122,90.6,10.2,2230,88.4,88.68,51,250,0,0.29999999999999716,6.45,105,150,119,146,304,319,290,"4.435","-4.435","73.3","7.4",122,111,24,7,0,4,11,9,0,0,2.39864,0.56395,0.31434,-0.24582,"92.3",148,42.34234234234234,3.6036036036036037,3.278688524590164,5.88,0.79,0.12,2.32,0.287,4,"-1.774",0.325,0.468,"1.774",-0.038,-0.038000000000000034,-0.025,-0.028,20.4,"38.3",6.645444225174982,-5.467152104895031,29.931983324055157,0.516,32.53391024062977,32.35085960295204
596,656716,"McKinstry, Zach",1462,40.8,0.287,0.195,0.32,0.482,0.322,0.296,0.282,78,272,86.1,16.1,2205,89.6,89.85,122,596,0,0.30000000000001137,6.46,116,146,113,151,289,323,300,"10.003","-10.003","67.7","6.8",276,227,48,15,7,8,49,17.8,0,0,2.21773,0.67689,0.45955,-0.31766,"90.7",163,30.396475770925107,7.048458149779736,5.797101449275362,5.67,-1.03,0.02,2.28,0.283,16,"-1.678355705",0.28,0.411,"1.678355705",0.005,0.002999999999999947,0.071,0.026,20.5,"36.9",9.594849089096472,2.1701669464377455,37.45743965685706,0.4261744966442953,34.847616508516744,26.723361343859114
28,672279,"Siani, Michael",69,40.6,0.286,0,0.444,0.286,0.253,0.305,0.329,4,14,79.8,18,2095,90.7,91.21,9,28,0,0.5,6.68,116,146,110,151,288,313,296,"1.267","-1.267","69.0","7.1",14,9,4,0,0,0,5,35.7,0,0,2.11071,0.69393,0.52857,-0.22929,"90.3",128,25,0,0,5.56,-1.69,-0.16,2.38,0.286,0,"-4.525",0.329,0.364,"4.525",-0.043,-0.04300000000000004,-0.078,-0.052,32.1,"34.3",8.796186323557173,4.620001473841983,30.049741832447346,0.39285714285714285,38.40683610168043,26.504855863436966
33,622534,"Margot, Manuel",68,48.5,0.286,0,0.4,0.286,0.236,0.276,0.283,4,14,83.7,17.8,2081,88.7,88.91,11,33,0,0.20000000000000284,6.45,108,152,115,146,292,315,284,"0.99","-0.99","71.1","7.0",15,10,4,0,0,0,5,33.3,0,0,2.16576,0.78061,0.41091,-0.00727,"90.3",156,20,0,0,5.96,0.63,-0.08,2.5,0.267,0,"-3",0.277,0.328,"3",0.003,-0.010000000000000009,-0.042,-0.04,33.3,"45.3",2.623393057767828,0.30897957458143277,26.117134134554455,0.2727272727272727,35.57194609693611,30.657411308392383
228,677595,"Mauricio, Ronny",496,46,0.286,0.229,0.312,0.514,0.341,0.317,0.269,30,105,90.8,15.2,2292,89,88.95,63,228,0,0,6.32,116,148,125,151,300,326,299,"1.031","-1.031","74.0","7.6",105,83,18,6,0,6,22,21,0,0,2.47114,0.44961,0.28825,-0.28825,"92.5",149,43.90243902439025,9.75609756097561,7.6190476190476195,5.73,-0.95,-0.06,2.43,0.286,8,"-0.452192982",0.269,0.477,"0.452192982",0.017,0.01699999999999996,0.037,0.024,27.6,"36.8",7.820466662612369,-4.246523603110917,29.770737405254845,0.5570175438596491,36.92835163649783,34.79556874928633
406,663886,"Stephenson, Tyler",1044,38.9,0.286,0.19,0.342,0.476,0.322,0.302,0.256,48,168,91.3,16.4,2273,89.8,89.91,107,406,0,0.10000000000000853,6.38,106,151,123,148,303,324,291,"8.416","-8.416","70.2","7.4",170,127,30,11,0,7,43,25.3,0,0,2.23493,0.67116,0.4223,0.1303,"91.8",179,50.79365079365079,11.904761904761903,8.823529411764707,5.75,-0.79,-0.03,2.59,0.282,15,"-2.072906404",0.256,0.455,"2.072906404",0.03,0.025999999999999968,0.021,0.02,26.4,"37.1",13.025640186923026,1.1259677561558765,37.53581085641143,0.5369458128078818,37.7479019040452,28.505442539441376
795,666182,"Bichette, Bo",1758,45.2,0.286,0.158,0.306,0.444,0.312,0.339,0.302,103,360,90,10.3,2287,89.3,89.38,144,795,0,0.10000000000000853,6.47,109,150,123,147,304,321,289,"13.434","-13.434","69.0","7.3",362,314,67,25,1,10,48,13.3,0,0,2.3598,0.5558,0.30917,-0.00866,"92.0",167,44.230769230769226,7.6923076923076925,6.629834254143646,5.78,-0.91,0.11,2.34,0.285,24,"-1.689811321",0.303,0.491,"1.689811321",-0.016,-0.018000000000000016,-0.047,-0.027,18.1,"37.9",5.0799018204100905,0.7530127142394575,37.53669756566639,0.3522012578616352,35.11740108934984,24.78435215969866
235,664059,"Haggerty, Sam",536,43.8,0.286,0.134,0.323,0.42,0.303,0.302,0.285,34,119,88.5,8.5,2164,89.8,89.84,58,235,0,0,6.5,111,149,108,148,295,321,293,"-0.68","0.68","71.9","6.9",119,101,25,4,3,2,18,15.1,0,0,2.22238,0.67957,0.55355,-0.55355,"92.1",148,44,3,2.5210084033613445,5.78,-0.08,-0.02,2.3,0.286,3,"0.289361702",0.285,0.421,"-0.289361702",0.001,0.0010000000000000009,-0.001,0.001,24.7,"38.6",3.2523703975597633,-0.5265795288409575,32.06073488274848,0.3191489361702128,39.159330345121134,27.774781895932083
35,669374,"Hiura, Keston",75,46.7,0.286,0.071,0.4,0.357,0.279,0.206,0.209,4,14,83.8,16.3,2294,90.7,90.86,10,35,0,0.20000000000000284,6.32,107,149,119,145,305,326,295,"1.372","-1.372","73.1","7.3",14,10,3,1,0,0,4,28.6,0,0,2.16114,0.632,0.44029,0.078,"90.1",155,20,0,0,5.81,-0.63,0.03,2.31,0.286,0,"-3.92",0.209,0.269,"3.92",0.077,0.07699999999999999,0.088,0.073,28.6,"40.1",15.182533347980378,7.2399114103673705,35.849703873609016,0.6857142857142857,35.701369256015475,26.02781461767643
734,656941,"Schwarber, Kyle",2026,36.2,0.286,0.389,0.256,0.675,0.403,0.445,0.325,94,329,96.3,19.8,2246,89.8,89.91,204,734,0,0.10000000000000853,6.41,117,145,128,151,299,327,296,"-9.16","9.16","77.2","7.6",329,260,41,15,1,37,69,21,0,0,2.29767,0.58186,0.4293,-0.1302,"95.2",176,63.84615384615384,20.384615384615383,16.109422492401215,5.86,-0.43,-0.11,2.39,0.286,53,"1.247956403",0.325,0.744,"-1.247956403",-0.039,-0.039000000000000035,-0.069,-0.042,27.8,"38.0",14.418631518471074,-5.9541115294465,30.303585062253408,0.6525885558583107,35.02738687884433,32.97977065379487
62,683090,"Lugo, Matthew",143,43.4,0.286,0.371,0.318,0.657,0.394,0.348,0.289,10,35,91.9,10.6,2312,89.4,89.31,24,62,0,-0.10000000000000853,6.35,107,151,123,146,300,321,292,"-3.315","3.315","72.1","7.4",35,25,4,2,1,3,10,28.6,0,0,2.20468,0.71639,0.21852,0.07918,"94.6",159,64,20,14.285714285714285,5.76,-0.72,0.02,2.39,0.286,5,"5.346774194",0.289,0.536,"-5.346774194",-0.003,-0.0030000000000000027,0.121,0.046,38.7,"38.6",7.704353602227543,-1.4640226239205059,35.74690921449145,0.4838709677419355,36.675847773153436,24.183832265380886
10,663796,"Montes, Coco",27,37,0.286,0,0.286,0.286,0.253,0.358,0.38,2,7,90.2,-3.7,2120,84.7,84.62,2,10,0,-0.10000000000000853,6.21,110,149,116,146,306,317,278,"0.413","-0.413","72.7","7.7",7,7,2,0,0,0,0,0,0,0,3.057,0.166,0.165,-0.205,"94.5",69,42.857142857142854,0,0,5.36,2.58,0.11,1.83,0.286,0,"-4.13",0.38,0.441,"4.13",-0.094,-0.09400000000000003,-0.155,-0.105,20,"25.8",15.106084694035708,-6.647509913162933,38.234958152055576,0.4,38.05853059520788,36.39849577509163
