name,uid,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8
"Stephenson, Tyler",b663886_r,143.49888505576206,335.98247970260223,143.63082973977694,159.61074706319704,133.9613427509294,310.6147649070632,153.94621472118962,95.00593546468403,,,,,,,,
"Stewart, Sal",b701398_r,143.12696850285718,287.9185722514286,106.78965138285714,106.85040749714287,138.88026934857146,265.4008298057143,132.78834870857142,36.36877549714286,,,,,,,,
"Stott, Bryson",b681082_l,95.35010163380285,140.86858411267607,60.07413070422534,315.62295684507046,93.2615355492958,67.33292326760565,62.601201802816945,295.0634780845071,,,,,,,,
"Stowers, Kyle",b669065_l,123.55512402877699,156.53853605755396,69.29809956834532,341.4538580719425,87.34280886330936,79.62126135251799,58.30624828776979,314.75077018705036,,,,,,,,
"Suzuki, Seiya",b673548_r,161.32803204450622,332.6933723504868,153.32493841446458,168.691733852573,147.31684828929068,305.44971460361614,157.656664255911,83.0125994993046,,,,,,,,
"Suárez, Eugenio",b553993_r,169.80774097719868,271.2253865798046,114.35904338762214,165.6590686644951,158.7282178501629,252.47113771986972,158.22898736156353,62.71236846905538,,,,,,,,
"Swanson, Dansby",b621020_r,164.90591372124496,340.2464229499323,137.00287133964815,212.91658565629228,143.37823327913284,316.9718178861789,144.39603252032524,127.06153279132792,,,,,,,,
"Tatis Jr., Fernando",b665487_r,138.92685655913976,322.83112408602153,89.73064623655914,196.81382924731184,117.45323290322578,295.0854589247312,154.88716064516132,80.71652688172043,,,,,,,,
"Taveras, Leody",b665750_l,101.36428301703165,165.00984836982968,70.09201946472021,325.4934933333334,80.94590478048777,74.51080741463412,84.94487219512199,298.93055063414636,134.32808550264554,331.41771851851854,129.55723682539684,169.625942010582,117.51820783068781,311.3829384126984,141.02305523809525,82.0685511111111
"Taveras, Leody",b665750_r,101.36428301703165,165.00984836982968,70.09201946472021,325.4934933333334,80.94590478048777,74.51080741463412,84.94487219512199,298.93055063414636,134.32808550264554,331.41771851851854,129.55723682539684,169.625942010582,117.51820783068781,311.3829384126984,141.02305523809525,82.0685511111111
"Thomas, Lane",b657041_r,162.0979752895753,328.6441044015444,124.50633204633203,122.14910486486485,142.15210038610041,318.1495406949807,152.63842841698843,95.71903073359073,,,,,,,,
"Torkelson, Spencer",b679529_r,153.1636931147541,336.39382032786887,129.98356983606558,186.6838819672131,138.7529652459016,309.62747540983605,149.51084590163933,110.88438032786883,,,,,,,,
"Tovar, Ezequiel",b678662_r,162.98356751879706,332.15276190476186,170.5448028070176,128.19928200501255,141.91616240601505,311.15533654135345,161.37232862155386,91.11452671679199,,,,,,,,
